,text,weight
794," Khách 10146: Mình cao 1m58, năng 52kg",52kg
795, Shop: MẪU 1M53 NẶNG 43KG Ạ,43KG
796, Khách 10194: Đầm này 57kg-1m63 vừa ko ạ,57kg
797, Khách 10196: 1m52 47kg size gì ak shop,47kg
798, Khách 10196: 1m52 47kg size gì ak shop ui ship,47kg
799, Khách 10203: E 1m5 46kg,46kg
800, Khách 10203: E 45kg 1m5,45kg
801," Khách 10210: 43kg 1,53m",43kg
802, Khách 10243: Mình 57kg cao 162,57kg
803, Khách 10268: E cao 1m6 nặng 50 kí,50 kí
804," Khách 10281: M6, 60kg mặc đồ shop vừa k ạ",60kg
805, Khách 10322: M6 58kg vừa ko hằng oi,58kg
806, Khách 10322: M6 60kg vua ko chị,60kg
807, Shop: MẪU 1M53 NẶNG 43KG Ạ,43KG
808, Khách 225: E 1m53 nặng 46kg ạ,46kg
809, Khách 232: Chj 50kg chua nhiêu .m55,50kg
810, Shop: MẪU 1M53 NẶNG 43KG Ạ,43KG
811," Khách 242: naẹng 50kg, cáo 2m59",50kg
812, Khách 242: lấy size vừa cho e nha. e cao 1m59 nặng 50 kg á,50 kg
813," Khách 242: e cao 1m59, nặng 50kg",50kg
814, Khách 246: Cao 1m5 nặng 43kg là mặc size nào vừa ạ,43kg
815, Khách 248: Cao 153 nạng 50kg ạ,50kg 
816, Khách 1262: Lấy cho mình 3 mẩu này size M. Cao 1m6. Nặng 54kg,54kg
817, Khách 1306: E muốn tìm sét đồ đi chơi. E nặng 55ky cao 1m50 eo 78 .Co mẫu nào vừa e ko gửi hình e xem với,55ky
818, Khách 1306: Shop có mẫu sét nào 55ky eo 78 cao 1m50 ko gửi e xem với,55ky
819," Khách 1313: M53kg cao 1,65 b nhed",53kg
820," Khách 1315: Có lấy chị 2 mẫu ln nhe.cao 1m6 năng 55 kg ,eo chị 76 .",55 kg
821, Khách 1315: Chị 55 kg cao 1m6,55 kg
822, Khách 1316: 1m6 nặg 56kg dị mag size gì shop,56kg
823, Khách 1316: Lấy e mẫu này. Size 1m6 56kg,56kg
824, Khách 1327: Váy 1m57 nặng 54 kí vừa ko ạ,54 kí
825, Khách 1331: e 55kg cao 1m6,55kg
826, Khách 1340: 47 cao 1m56,47 
827, Shop: c cao với nặng bao nhiêu v ạ, Shop: c cao với nặng bao nhiêu v ạ
828, Khách 1347: Mẫu này 70kg mặc vừa ko shop. Cao 1m65 mua cho chị mình.,70kg
829, Khách 1349: Mình cao 1m55 nặng 44kg mặc size j được ạ,44kg
830," Khách 1365: Mình cao 1m51, nặng 50kg",50kg
831, Khách 1382: Cao 155. Nang 50kg,50kg
832, Khách 1395: 1m65 nặng 55kg eo 74cm ạ,55kg
833, Khách 1407: Chi cao 1m52..năng 52ky,52ky
834, Khách 1410: Size L. 1m6 55kg.xxxxx,55kg
835, Shop: MẪU 1M53 NẶNG 43KG Ạ,43KG
836," Khách 1431: Cao 1m50, nặng 45kg",45kg
837, Khách 2891: E size S 1m54 nặng 46kg ạ,46kg
838, Khách 2907: E 49kg 1m65,49kg
839," Khách 2927: Cao 1m 50 nặng 55 kí, cánh tay hơi mập có thể mặc k ạ",55 kí
840, Khách 2940: 1m60. Nặng 54ki mac đc k ạ,54ki
841," Khách 2978: Cao 1,58m. Nặng 55kg nha",55kg
842, Shop: dạ 1m53 41kg ạ,41kg
843, Khách 3012: Cho minhd hỏi bạn mẫu live đồ cao và nặng nhiêu shop, Khách 3012: Cho minhd hỏi bạn mẫu live đồ cao và nặng nhiêu shop
844," Khách 3034: 1m6, 52 kí nha sop",52 kí
845, Khách 5725: E 48 kg cao 1m56,48 kg
846, Khách 5738: C 1m6 53kg,53kg
847, Khách 5738: Set này nữa e! C 1m6 54kg có size k e?,54kg
848, Khách 5752: Mình cao 1.62 nặng 58kg,58kg
849," Khách 5756: E 45kg , 1m5",45kg
850, Khách 5799: E cao 1m65 nặng 49kg,49kg
851, Khách 259: Cao 1m60. Năng 55kg.,55kg
852, Khách 274: E cao 156 cm nặng 56ky ạ,56ky
853, Khách 276: 52kg 1m52 mang sjze gì ạ,52kg
854, Khách 292: Minh cao 1m58 nag 48kg,nag 48kg
855, Khách 1203: Em 58kg cao 1m65,58kg
856, Khách 1203: Em 56kg cao 1m65 vừa k chị ơi,56kg
857," Khách 1204: Mình m55, nặng 42",nặng 42
858, Shop: c cho e xin chiều cao cân nặng của mình e tư vấn nha, Shop: c cho e xin chiều cao cân nặng của mình e tư vấn nha
859," Khách 1207: E cao 1m5, nặng 46kg",46kg
860," Khách 1224: Shop cho e hỏi shop còn mẫu này size cho người tầm 48kg, cao 1m53 ko ạ?",48kg
861, Khách 1228: A1 cao 1 mét 63 nặng 58 kí ạ, 58 kí
862, Khách 1229: Neu con ao Dài 55kg cao 1m6 thi gui cho minh nha,55kg
863, Shop: 1m53 40kg nha c,40kg
864, Khách 1232: E cao 1.62 năng 50kg.,50kg
865, Khách 1203: Em 58kg cao 1m65,58kg
866, Khách 1203: Em 56kg cao 1m65 vừa k chị ơi,56kg
867," Khách 1204: Mình m55, nặng 42",nặng 42
868, Shop: c cho e xin chiều cao cân nặng của mình e tư vấn nha, Shop: c cho e xin chiều cao cân nặng của mình e tư vấn nha
869," Khách 1207: E cao 1m5, nặng 46kg",46kg
870," Khách 1224: Shop cho e hỏi shop còn mẫu này size cho người tầm 48kg, cao 1m53 ko ạ?",48kg
871, Khách 1228: A1 cao 1 mét 63 nặng 58 kí ạ,58 kí
872, Khách 1229: Neu con ao Dài 55kg cao 1m6 thi gui cho minh nha,55kg
873, Khách 1232: Thường e mặc size s. 49kg nhưng cao 1.62 nên k mập,49kg
874, Shop: 1m53 40kg nha c,40kg
875, Khách 1232: C mẫu cao met mấy và bao nhiu kg ạ, Khách 1232: C mẫu cao met mấy và bao nhiu kg ạ
876, Khách 1232: E cao 1.62 năng 50kg.,50kg
877, 1m55 48kgxxxxx Níu còn hàng báo e cái nha. 43/28 Minh phụng f5q6,48kg
878, Khách 3517: 1m55 48kg,48kg
879," Khách 3541: Chị 48kg cao 1m 58, eo64 mặc vừa k e?",48kg
880, Khách 3550: 1m6 54kg,54kg
881, Khách 3554: Size L 1m47 nặng 54kg size L vừa k ạ,54kg
882, Khách 3585: Mẫu này cao 1m6 59kg vừa kc,59kg
883, Khách 3598: 1m6 50kg mặc sz gì để e chốt đơn live vs ạ,50kg
884, Khách 3618: 60kg cao 1m53 ak,60kg
885, Khách 3618: Mấy đồ này sai 60kg cao 1m50 vừa ko shop,60kg
886, Cao 1m58 nặng 56kg,56kg
887, Cao 1m58 nặng 56kg,56kg
888, Khách 3631: 52 kí cao m58 nha,52 kí
889, Khách 1712: C hỏi chút c cao 1.64m 58 kg eo 70 mặc đc ko e,58 kg
890," Khách 1712: Cho c hỏi váy nhung c cao 1,63m 58 kg eo 72 cm mặc đc ko e",58 kg
891, Khách 1735: 1m58 50kg,50kg
892, Khách 1740: E 48kg cao 1m45 thì mặc sai nào vừa ak,48kg
893, Khách 3220: M46kg m55,46kg
894, Khách 3237: Mẫu trên 60k  cao 1.54 mặc đc không ạ, Khách 3237: Mẫu trên 60k  cao 1.54 mặc đc không ạ|/|60k  
895, Khách 3246: Dam gam bn em c cao 1m6 nang 49kg vua ko,49kg
896, Khách 3250: 48kg cao 1m50 ak,48kg
897, E m52 51kg ạ,51kg
898, Khách 3255: Size 1m57 53kg là size M đúng k ạ,53kg
899, Khách 3255: Mẫu này còn size 1m57 53kg thì chốt cho mình 2 bộ này nha,53kg
900, Khách 3261: 1m58 56 ki vừa k ah,56 ki
901, Khách 3291: 42kg 1.55,42kg
902, Khách 3301: 56kg 1m54 vừa k e,56kg
903, thôn 6 xã Đức Chánh huyện Mộ Đức tỉnh Quảng Ngãi     nặng 47kg 1m6 ạ,47kg
904, Khách 4281: Chị cao 1m65 nặng 51kg,51kg
905, Khách 4302: Mình cao có 1m45 nặng 48kg. Eo 70cm. Có mặc vừa mẫu váy trên không ạ?,48kg|/| Khách 4302: Mình cao có 1m45 nặng 48kg. Eo 70cm. Có mặc vừa mẫu váy trên không ạ?
906, Khách 4308: 45ki met 50,45ki
907," Khách 4315: 53kg,1m6,eo 72 mặc sz nào c",53kg
908," Khách 4315: 53kg,1m6,eo 72 mặc sz nào c",53kg
909," Khách 4315: 53kg,1m6,eo 72 mặc sz nào c",53kg
910, Khách 4327: 45can .1m6,45can
911, Khách 4331: 1m60 56 kg,56 kg
912, Khách 4334: E 1m53 nặng 43kg,43kg
913, Khách 4335: Em 49kg cao 1m55,49kg
914, Khách 4352: 1m53 49kg eo 68cm mặc size M OK phải không em?,49kg
915, Khách 4352: 1m53 49kg mặc size M phải không shop?,49kg
916, Khách 4357: 53 ký cao 1m64 thì vừa size nào ạ,53 ký
917," Khách 4404: Mình cao m6, nặng 48kg",48kg
918, Khách 7844: C 50kg 1m63,50kg
919," Khách 7852: C 1m53,53.5kg",53.5kg
920," Khách 7869: Ship cho mình size 1m56, 46kg",46kg
921," Sdt:xxxxx Size: 1m56, 47kg",47kg
922, Khách 7875: Đầm này 1m65 năng 55kg,55kg
923, Khách 7931: Còn thì lấy mình 1 cái cho người 1m60 nặng 54kg nhé,54kg
924, Khách 7965: Chị cao 1m55 nặng 58 kg thì mặc đầm sezi gì,58 kg
925, Khách 7967: Cao 160cm.nặng 51kg.,51kg
926,Khách 2598: 1.64m nặng 60kg mặc vừa không ạ,60kg
927,"Khách 2599: 160- 52,5kg a","52,5kg"
928,"Khách 2606: Cao 1m54,  nặng 53kg",53kg
929,Khách 2607: Nàng 50cao một 150, 50
930,Khách 2609: 1m57 69ky,69ky
931,Khách 2629: 43kg 1m53,43kg
932,Khách 2630: 48kg cao 1m50 mặc size j ạ,48kg
933,Khách 2632: 1m52 60kg,60kg
934,"Khách 2633: Mình nặng 51kg, cao 1m54",51kg
935,Khách 2634: 52kg 1m52,52kg
936,Khách 2635: 1m50 48kg a,48kg
937,Khách 2644: Nang 40kg .cao 1m50,40kg
938,"Khách 2647: mình m62, 52kg ạ",52kg
939,Khách 2649: 1m50 44 kg size gì b,44 kg
940,Khách 2650: 1m6 53kg,53kg
941,Khách 2655: Có 41kg m55 k ạ,41kg
942,Khách 2656: E cao m55 nặng 50kg eo 70cm,50kg
943,Khách 2674: Em 50kg cao 1m6,50kg
944,Khách 2680: Cao 1m65 nặng 55kg,55kg
945,Khách 2687: Dạ Chị ơi e cao 1m50 nặng 57 58 kg á,58 kg|/|57 
946,Khách 2690: 1m50 47kg ạ,47kg
947,Khách 2691: Cao m6 nặng 60kg,60kg
948,Khách 2712: E 1m57 52kg ạh,52kg
949,Khách 2714: E cao 1m56 nặng 48kg,48kg
950,Khách 2715: 1m47 48kg,48kg
951,Khách 2717: M56 54kg vừa k ạ?,54kg
952,Khách 2722: 1m56 nag 52,52
953,Khách 2724: Mình 50kg cao 1m6,50kg
954,Khách 2736: E 43ky  ạ  dạ  mét  145a,43ky
955,"Khách 2739: Mình dao động 53 đến 55kg, 1m55, nhưng do mình thuộc vai và mình ngang",55kg|/|53 
956,Khách 2742: Dạ 1m6 50kg,50kg
957,"Khách 2752: À e cao 1m56,nặng 55kg e bận vừa k chị",55kg
958,Khách 2752: Như e nặng  55kg cao mét 56 bận vừa hok c,55kg
959,Khách 2758: cao 1m64 nặng 45 g,45 g
960,"Khách 2759: Nang 55kg cao 1,50m",55kg
961,Khách 2774: cao 1m58 nặng 48kg,48kg
962,Khách 2780: Dạ mình cao 1m62. nặng 51kg ạ,51kg
963,Khách 2783: 60kg 1m55 vừa ko shop,60kg
964,Khách 2785: Cân năng 43 kg cao 1 m 52,43 kg
965,Khách 2788: Mình cao 1m63 nặng 60ký vừa ko shop,60ký
966,"Khách 2792: m 1m60, 49kg",49kg
967,Khách 2793: nặng 58kg cao m60,58kg
968,Khách 2801: Dạ e 1m53 45kg ạ,45kg
969,Khách 2803: 58kg cao m68 vua hok shop,58kg
970,Khách 2809: Mình cao 1m 53 nặng 54kg,54kg
971,Khách 2815: 1m50 năng 48 ki,48 ki
972,Khách 2822: 1m7 63kg vừa k ạ,63kg
973,Khách 2825: 1m56 55kg,55kg
974, Khách 9236: E cao m67 nặng 50 kg,50 kg
975," Khách 9262: Chị 1m50,48kg size j dc em?",48kg
976," Khách 9280: 52kg,1m55 vua ko",52kg
977," Khách 9280: A1 ,52kg ,1m55",52kg
978, Khách 9323: C cao 1m 60 nặng 55kg,55kg
979, Khách 9332: 1m58 50kg ạ,50kg
980, Khách 9354: Gui dc cu cho c nha 52ki1m56,52ki
981, Khách 9354: Ok em dam nay gui rieng cho c cung dc chi 52ki 1m156 nha em,52ki
982," Khách 9371: Mẫu này còn k shop, cho mình chốt size S với..xxxxx .45kg(1,56m)",45kg
983, Khách 9382: Chị cao 1m58 nặng 56kg,56kg
984, Khách 9385: Chị nặng 48kg cao 1 m62,48kg
985, Khách 11331: chị 53kg 1m55,53kg
986, Khách 11349: 1m6 nặng 54 kg nha  shop,54 kg
987, Khách 11372: 1m55 nặng 54kg,54kg
988, Khách 11372: cao 1m55 năng 54kg,54kg
989, Khách 11434: Chỉ cao 1m50 năng 50kg,50kg
990, Khách 11470: 1m58 nặng 54ky  ko  e,54ky
991, Đồ nhà shop mình cao 1m6 nặng 49kg mặc size gì ạ,49kg
992, Khách 11472: Hi shop còn 2 bộ này size cho cao 1m6 nặng 48-49kg k ạ,49kg|/|48
993, Khách 12986: 48kg cao 1.6m mặc size nào shop,48kg
994, Khách 13019: E 57 cao 1 m63,57 
995, Khách 13025: Cao 1m58 nậng 50kg,50kg
996, Khách 13047: Mình 45kg cao 1m 50,45kg
997, Shop: MẪU 1M53 NẶNG 43KG Ạ,43KG
998, Khách 13057: 1m6 50kg,50kg
999, Khách 13072: E cao m60 nặng 50kg ạ,50kg
1000, Khách 1895: cao 1m6 nặng 48kg nha, 48kg 
1001, Khách 1905: 1m56. 47 kg nha bạn,47 kg
1002, Khách 1909: Cj cao 1m65 nặng 53 kg,53 kg
1003," Khách 1925: mình cao 1m58 , nặng 53kg",53kg
1004," Khách 1925: Cao 1m58 , nặng 53kg",53kg
1005, Khách 1941: M6 nặng 55kg vừa ko,55kg
1006, Khách 1943: 55kg 165 mặc vừa ko,55kg
1007, Khách 1948: 40kg và 1.47cm có mặc được ko,40kg
1008," Khách 1961: E cao 1m 55, 52kg,eo 73",52kg
1009, Khách 1967: Mình 52kg cao 1m61,52kg
1010, Khách 1967: Mình 52kg cao 1m61,52kg
1011, Khách 3906: Chị cao 1m55 nặng 52 kg,52 kg
1012, Khách 3911: 54ky cao 163,54ky
1013, Khách 3959: C m55 năng 50kg vừa ko,50kg
1014, Khách 3965: Can năng 51kg cao m60,51kg
1015, Khách 3999: Cho e đặt đầm đỏ cao 1m67 năng 58kg,58kg
1016, Khách 3999: Mình cao 1m67 nặng 58 kg,58 kg
1017, Khách 4012: Chị 49kg cao 1m55 size j e gửi chị nha,49kg
1018, Khách 4473: Nếu còn set này size M mình cao 1m6 nặng 53kg thì bạn gởi cho mình với,53kg
1019, Khách 4478: Minh cao 1m50 nang 51kg eo 68,51kg
1020, Khách 4481: Bưu dien dai hai ke sach Soc trang e 53 ki cao 1m 6 . Sđtxxxxx,53 ki
1021, Khách 4486: M nhé. Mình cao m58 nặng 53kg,53kg
1022, Khách 4486: Vậy đầm dây đó chị cao m58 nặng 52kg vừa k em??,52kg
1023, Khách 4510: Nặng 53 cao 1m6 eo 68,53
1024, Khách 4542: E cao 165 nặng 57 ki,57 ki
1025, Khách 5143: 1m68 57kg eo 73,57kg
1026, Khách 5143: Set nay 1m68 57kg rm 73 vưa k,57kg
1027, Khách 5154: 162 nặng 55ki,55ki
1028, Shop: MẪU 1M53 NẶNG 43KG Ạ,43KG
1029, Khách 5207: C cao 1m63 nặng 56 kí e,56 kí
1030, Khách 5219: Set này size L 56kg cao 1m6 mặc vừa ko shop?,56kg
1031, Khách 5236: Mih 48kg cao m6,48kg
1032, Khách 5258: E 47kg cao m58 mặc size nào đc ạ,47kg
1033, Khách 5311: Dạ em cao 1m57 nặng 46ky ạ,46ky
1034, Khách 5322: Chị 47k cao 152m,47k
1035," Khách 5324: C cao 1m52, nặng 49kg nge e",49kg
1036," Khách 5328: Chị cao 1,5 m nhưng hơi mập 50 cân lận",50 cân
1037, Khách 5350: Sét này còn ko lấy c sét 47kg  1m52xxxxx,47kg
1038, Khách 5353: Size S 42kg cao 1m58,42kg
1039, Khách 5356: E 47kg cao 158 eo 66 ng 84 nha,47kg
1040," Khách 5367: 1 set 52kg,1m6",52kg
1041, Khách 5373: Nguyễn thị Cẩm Tú Sđtxxxxx chị 57kg mét 160,57kg
1042, Khách 5395: Mình nang 53kg cao 1m58,53kg
1043, Khách 5408: Cao 1.53 năng 47kg size gì ak,47kg
1044, Khách 5452: Gia bn a cao 1m50 nang 45 mac vua k a,45
1045, Khách 6468: 49kg 1m58 thì bận size j ạ,49kg
1046, Khách 6482: C m55 nặng 46kg,46kg
1047, Khách 6512: 1m50 42kg mặc sz gì b,42kg
1048," Khách 6520: Chị 1m57, nặng 50kg, eo 66, Mông 94 mặc vừa S ko e",50kg
1049, Khách 6520: Chị 1m57 49kg,49kg
1050, Khách 6520: Chị 1m56 nặng 52kg,52kg
1051," Khách 6542: 50kg,1m58",50kg
1052, Khách 6554: C nang 52 kg cao 1 m 57,52 kg
1053, Khách 6559: Shop oi đầm này còn size l 57kg 1m55 ko,57kg
1054," Khách 6569: Cho mình hỏi mình 55kg, cao 1m63 thì chọn size nào bên shop vừa , M hay L?",55kg
1055," Khách 6569: Mình nặng 55kg, cao 1m63, mình nghĩ size L nhỉ",55kg
1056," Khách 6569: Mình nặng 55kg, cao 1m63, mình nghĩ size L nhỉ",55kg
1057, Khách 6576: 50k cao 1m55,50k
1058, Khách 6585: Chi 49 kg cao 1 m62 eo 65,49 kg
1059," Khách 6597: Dam nay con size s khong e, chi 45kg 1m6",45kg
1060, Khách 6692: Dạ 50 kí cao 1m57,50 kí
1061," Khách 6710: Da, nặng 50kg, m50,xxxxx",50kg
1062, Khách 6715: Sét đó 1m50 51kg vừa k shop,51kg
1063, Khách 6726: 1m65 57kg vừa ko shop,57kg
1064, Khách 6737: Mình 50 kg. 1m53,50 kg
1065, Khách 7525: 52kg cao 1m58,52kg
1066, Khách 7529: 1m5 46kg ạ,46kg
1067, Khách 7540: 3 may này con size L k..ca 1m58 nag 56kg,56kg
1068, Khách 7540: Nay còm size 56kg cao 1m58 k shop,56kg
1069, Khách 7541: 1m67 52kg,52kg
1070, Khách 7541: 1m67 52kg size nào vừa ạ,52kg
1071, Khách 7543: Mình cao 1m57 nạng 49kg eo 68 mặc size nào vậy shop,49kg
1072, Khách 7545: 57kg 1m59,57kg
1073, Khách 7576: 3 váy trên còn hàng ko shop. 52 kg 1m55 vừa ko.,52 kg
1074, Khách 7591: Chi 48kg cao 1.55,48kg
1075, Khách 7611: 40kg.cao 1m58 ak,40kg
1076, Khách 7617: M56 nặng 59kg eo 76 mặc size gì vậy e,59kg
1077, Khách 7632: Chị ơi em cao 1 m 6 nặng 53 kg eo 72 mac size gi dc ạ,53 kg
1078, Khách 7666: Nặng 57 ký cao 1m50 size gì,57 ký
1079, Khách 7675: Em 1m55 nặng 50kg ạ,50kg
1080, Khách 7699: 1m52 52 ký vừa ko ạ,52 ký
1081," Khách 7711: Dạ, e m55-43kg",43kg
1082, Shop: 1m53 41kg nha c,41kg
1083, Khách 7727: Nặng 58 kh cao m52 có vừa k ah,58 k
1084, Khách 7729: Dạ em cái ơn shop nhiều nhé. Mà cho em hỏi chị mẫu chị ấy cao và nặng bao nhiêu vậy ạ, Khách 7729: Dạ em cái ơn shop nhiều nhé. Mà cho em hỏi chị mẫu chị ấy cao và nặng bao nhiêu vậy ạ
1085, Khách 7743: 57kg m55 OK ko e,57kg
1086, Khách 7745: Chi mẫu nay con ko cho em 1chiec.   Em. Cao. 1.52m.   52ki.   xxxxx,52ki
1087, Khách 7807: B coi giúp mình co chua mình bookgrab mà mình 158 nạng 53 kg vua ko ah,53 kg
1088, Khách 7809: 1m55 46 kg size gù v shop,46 kg
1089, Khách 7813: Có size dành cho những ng tầm 70kg mà cao 1m65 kh ạ,70kg
1090, Khách 7813: Có size dành cho những ng tầm 70kg mà cao 1m65 kh ạ,70kg
1091, Khách 7816: Mh 54kg. Cao 1.55,54kg
1092," Khách 7828: Dạ hqua fb k có tb nên mình k thấy, s check lại dùm mình sp này nhé, mà sp này có size k ạ. Mình cao 1m56 nặng 54kg mặc vừa k ạ",54kg
1093,"Khách 2083: Mình m52,45kg ạ",45kg
1094,Khách 2092: 52kg m60 mặc size gì ạ,52kg
1095,Khách 2093: 1m56 nặng 47kg mặc size gì ạ,47kg
1096,Khách 2112: 41kg cao 1m54,41kg
1097,"Khách 2114: e nặng 56kg, cao 1m54 k biết có vừa k ạ",56kg
1098,Khách 2120: Dạ cao 1mm55 nặng 48kg,48kg
1099,Khách 2128: cho e hỏi m58 58kg size gì vừa ạ,58kg
1100,Khách 2131: 50kg cao m60 ạ,50kg
1101,Khách 2133: Cao 1.49 nặng 53kg,53kg
1102,"Khách 2134: Mình đặt 1 bộ này, cao 1m50 nặng 45kí 01phan văn trị, kv5 , phường 7,vị thanh",45kí
1103,Khách 2134: 1m5 nặng 45kg,45kg
1104,Khách 2142: Em 1m75. Nặng 60 ạ,60 
1105,Khách 2144: 1m50 43kg có vừa kh ạ,43kg
1106,Khách 2157: Em cao 1m6 50kg ạ,50kg
1107,Khách 2164: 1m55 58kg,58kg
1108,Khách 2165: 1m6 45kg,45kg
1109,Khách 2165: 1m6 45kg eo 63 ạ,45kg
1110,Khách 2168: 40kg 1m50 ạ,40kg
1111,Khách 2179: Em 1m56 nặng 53kg,53kg
1112,Khách 2180: 1 ng 1m55 nặng 45 kg,45 kg
1113,Khách 2180: 1 ng cao 1m6 nặng 49 kg,49 kg
1114,Khách 2187: Em nặng47kg cao 1m58,47kg
1115,Khách 2196: E cao 1m49 nặng 49kg,49kg
1116,Khách 2197: Mình cao m7 nặg 65kg,65kg
1117,Khách 2223: Mình cao 1m50 nặng 46ki,46ki
1118,Khách 2224: cao 1m63 nặng 52 kg,52 kg
1119,Khách 2226: 40kg m55 ạ,40kg
1120,Khách 2258: E cao 1m52 nặng 49kg nhé chị,49kg
1121,"Khách 2259: 1m64, 46kg mặc size gì ạ",46kg
1122,Khách 2259: Dạ cao 1m62 nặng 47kg mặc vừa size gì ạ,47kg
1123,Khách 2261: 62kg- 1m65 ạ.,62kg
1124,Khách 2268: Co size 60ki 1m59 ko,60ki
1125,Khách 2271: M6 nag 65 ky,65 ky
1126,Khách 2274: Dạ m5 42 kg mang vừa không ạ,42 kg
1127,Khách 2276: 1m6 nặng 60kg mặc vừa k ạ,60kg
1128,Khách 2285: Em 60kg cao m65,60kg
1129,Khách 2290: M50 64kg mặc vừa ko ban,64kg
1130,Khách 2301: Mình cao 1m 50 nặng 48 kg mặc sai gì,48 kg
1131,Khách 2310: Mình m73 54kg eo 69 nhé,54kg
1132,Khách 2311: E cao 1m50 nặg 49kg ạ,49kg
1133,Khách 2313: Em cao m5 38kg ạ,38kg
1134,Khách 2322: 1m62 57 cân 93-69-96 mặc size gì cậu,57 cân
1135,Khách 3579: 60kg cao 1m 65 vua k,60kg
1136,Khách 3584: 1m65 50kg ạ,50kg
1137,Khách 3589: 60kg 1m50,60kg
1138,Khách 3600: E cao 1m55 nặng 43kg nha shop,43kg
1139,Khách 3601: Hic sợ mình k vừa cao có 1m50 mà nặng 58kg,58kg
1140,Khách 3602: 1m58 nặng 47kg,47kg
1141,Khách 3606: Mình cao 1m62 57kg ạ.,57kg
1142,Khách 3607: 1m58 nặng 56kg,56kg
1143,"Khách 3612: Mình 50kg , cao 1,m54",50kg
1144,Khách 3618: E nặng 45kg cao 1m62 ạ,45kg
1145,Khách 3619: Mình cao 1m50 nặng 52 kg,52 kg
1146,Khách 3640: Cao 1m55 nặng 46kg,46kg
1147,Khách 3643: 1m47 40kg,40kg
1148,Khách 3648: 1m66 70kg nha,70kg
1149,Khách 3649: 1M52 NẶNG 57KG NHA,57KG
1150,Khách 3650: Cao 1m54 . Nặng 54 kí,54 kí
1151,Khách 3659: Cao 1m50 nặng 53kg,53kg
1152,Khách 3662: M53 56 kg ạ,56 kg
1153,Khách 3663: E 1m6 nặng 48 ký,48 ký
1154,Khách 3677: Cao 1m60 nặng 50kg,50kg
1155,Khách 3681: Em nặng 45 KY và Cao mét 48,45 KY
1156,"Khách 3695: E cao 1m52, nặng 59kg bon chen đầm này đc ko shop ạ.",59kg
1157,Khách 3698: M45 38 kg ak,38 kg
1158,Khách 3706: chi  60 ky cao 1m50 co k chup mau cho chi xem duoc k ha,60 ky
1159,"Khách 3710: 60kg, 1.7m mặc vừa ko",60kg
1160,Khách 3719: Mình 47kg 1m56,47kg
1161,Khách 3736: Cang nag 46kg cao 1m55,46kg
1162,Shop: Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/thoitranghume/photos/a.142770340797826/156578949416965/?type=3&av=104247154650145&eav=AfZ25kycrqlmzb0VP6cr_WAmyL5EqUdJQgLYMtownZezq01lqraxWWy3tmyT563m1Dw&comment_id=177153184026208),25ky
1163,Khách 3741: 57kg 1m55,57kg
1164,Khách 3748: 1m6 nặng 43ky,43ky
1165,Khách 3756: 45 ki.1m 50,45 ki
1166,Khách 3757: m55 nặng 57 kí,57 kí
1167,Khách 3758: 1m58 nặng 43kg,43kg
1168,"Khách 3767: 1.5m, 52kg, eo 80cm",52kg
1169,Khách 3772: E m53 52kg ạ,52kg
1170,Khách 3775: 48ky cao. 1met 47 đường Lê Thị Hồng gấm hẻm 1c khu phố 10 phú trinh phan Thiết bình thuận,48ky
1171,Khách 3797: C nặng 50kg cao 1m50,50kg
1172,Khách 3802: Shop cho em hỏi đầm này 1m50 nặng 58kg eo 78 vừa k ạ,58kg
1173,Khách 3802: Shop cho em hỏi đầm này 1m50 nặng 58kg eo 78 vừa k ạ,58kg
1174,Khách 3806: 160m. 55kg  mặc vừa không,55kg
1175,Shop: Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/thoitranghume/photos/a.131376055270588/166329351775258/?type=3&av=104247154650145&eav=AfaGjmEm0MB-Et5ZjdFqV2JpHb8f9jA0Zmy61Ki3MeqyhjFvBu6e4dzGK1XysMnsRIo&comment_id=176012497473610),61Ki
1176,Khách 3837: 56ki cao 1m60,56ki
1177,Khách 3843: Hi chi 42kg cao150..,42kg
1178,Khách 3846: 60 ký chiều cao 1m6,60 ký
1179,Khách 3851: Chị 1.7 nặng 70 kg e ah,70 kg
1180,Khách 3851: giá nhiêu e chị cao 1.7 nặng 70 cân vừa ko e,70 cân 
1181,Khách 3861: 61kg cao 1m6 vừa k ạ,61kg
1182,Khách 3869: Minh cao 1 m6 và nặng 52 kí nha ban,52 kí
1183,Khách 3870: Em nặng 41 kg cao 1 m50,41 kg
1184,Khách 3871: Cao 1m56 nặng 46 47kg,47kg|/|46
1185,Khách 3875: 1m60 48kg,48kg
1186,Khách 3875: 48kg 1m60,48kg
1187,Khách 3886: Nag 42kg cao 1m55,42kg
1188,Khách 3894: 40ki cao 1m50,40ki
1189,Shop: và 1m50 nặng 40kg,40kg
1190,Shop: 1m59 nặng 40 kg,40 kg
1191,Khách 3904: Dạ e m50 40kg ạ,40kg
1192,Khách 3905: 45kg cao 1m60,45kg
1193,Khách 3914: 1m55- 57kg,57kg
1194,"Khách 3915: 48,5kg 1m57",5kg|/|48
1195,Khách 3921: 47kg cao 1m59,47kg
1196,"Khách 3923: Mình cao 1m63, nặng 53kg",53kg
1197,Shop: 1m57 nặng 50kg,50kg
